Stock,Market cap (in Rs Cr.),Current price,PE Ratio,52 Week High,% Below 52 week high,52 Week Low,% Above 52 Week low,Yesterday Closing Price,% Change,,,,,,,,,,,,,,,
Bhansali Engineering,1954.37,118.6,8.27,182.4,34.98%,98,21.02%,120.25,-1.37%,,,,,,,,,,,,,,,
Apollo pipes,1991.10,510,64.75,635.7,19.77%,395,29.11%,514.85,-0.94%,,,,,,,,,,,,,,,
Garware hi-tech,1482.07,638.25, ,649.7,1.76%,634.15,0.65%,636.85,0.22%,,,,,,,,,,,,,,,
Chemcom Speciality,1059.91,288.1,15.51,477.95,39.72%,261,10.38%,290.1,-0.69%,,,,,,,,,,,,,,,
Nureca,404.80,404.35, ,1936,79.11%,401,0.84%,408.5,-1.02%,,,,,,,,,,,,,,,
Dr Reddy,880.69,4323.5,23.13,4759.6,9.16%,3654,18.32%,4310.6,0.30%,,,,,,,,,,,,,,,
HDFC Bank,11060.07,1601,21.39,1722.1,7.03%,1271.6,25.90%,1599.4,0.10%,,,,,,,,,,,,,,,
Finolex Cable,8463.66,553.4,15.6,593.9,6.82%,343.5,61.11%,539.85,2.51%,,,,,,,,,,,,,,,
Nippon AMC,15766.34,252.6,23.69,375.2,32.68%,241.05,4.79%,251.9,0.28%,,,,,,,,,,,,,,,
Abbott India,47348.12,22241,53.6,22499,1.15%,15514,43.36%,22162.55,0.35%,,,,,,,,,,,,,,,
Axis Bank,287213.29,933.9,15.67,970,3.72%,618.25,51.06%,935.55,-0.18%,,,,,,,,,,,,,,,
Bank of Baroda,95565.88,184.9,9.72,197.2,6.24%,89.9,105.67%,181.8,1.71%,,,,,,,,,,,,,,,
SBI Bank,535431.32,600.05,13,629.65,4.70%,425,41.19%,595,0.85%,,,,,,,,,,,,,,,
Federal Bank,29278.49,138.45,11.78,142.25,2.67%,82.5,67.82%,135.05,2.52%,,,,,,,,,,,,,,,
Shree Cement,87098.03,24025,54.11,27936.75,14.00%,17865.2,34.48%,23854.85,0.71%,,,,,,,,,,,,,,,
Infosys,7658.13,1503.5,27.61,1953.7,23.04%,1355.5,10.92%,1480.55,1.55%,,,,,,,,,,,,,,,
Reliance,1620922.44,2467.9,25.09,2856.15,13.59%,2180,13.21%,2471.6,-0.15%,,,,,,,,,,,,,,,
Gujarat Ambuja Export,5515.52,241.5,12.67,393.85,38.68%,169.25,42.69%,236.7,2.03%,,,,,,,,,,,,,,,
Acrysil Ltd,1191.35,446.8, ,455.95,2.01%,444,0.63%,447.4,-0.13%,,,,,,,,,,,,,,,
HDFC life Insurance,129917.60,604,85.12,678.8,11.02%,497.05,21.52%,598.4,0.94%,,,,,,,,,,,,,,,
J K Cement,22430.59,2900.45,36.07,3646.25,20.45%,2005,44.66%,2905.9,-0.19%,,,,,,,,,,,,,,,
ICICI Pru life insurance,67468.32,468.9,78.92,648.85,27.73%,430,9.05%,464.7,0.90%,,,,,,,,,,,,,,,
Titan,214719.01,2417.65,68.59,2790,13.35%,1827.15,32.32%,2445.65,-1.14%,,,,,,,,,,,,,,,
Goldiam International,1794.80,165.55,17.83,209.41,20.94%,116.75,41.80%,165.4,0.09%,,,,,,,,,,,,,,,
United Spirits,61484.39,846.75,46.19,958,11.61%,712,18.93%,857.75,-1.28%,,,,,,,,,,,,,,,
Rossari Biotech,3951.36,717,39.87,1375,47.85%,675,6.22%,726.2,-1.27%,,,,,,,,,,,,,,,
Kansai Nerolac,22276.24,415,52.87,624,33.49%,358.15,15.87%,413.05,0.47%,,,,,,,,,,,,,,,
Voltas,26702.30,805.9,70.1,1347.75,40.20%,770.55,4.59%,808.15,-0.28%,,,,,,,,,,,,,,,
Chemplast sanmar,6945.44,439.9, ,684.55,35.74%,357.7,22.98%,425.8,3.31%,,,,,,,,,,,,,,,
